intentservice,3955410
gdi,397420 420620 764480 810550 881270 925650 1178660 1238710 1496120 1670270 1946070 1963880 2270110 2289570 2309750 2359170 2496160 2520610 2625170 2697930 2771980 2909590 3105940 3154620 3453970 3498240 3602390 4036410 4076220 4322840 4365360 4383360 4387830 4460570 4529060
devil,4033810
midlet,515580 524130 883050 1590210 2213420 2296430 2771010 3524260 3895130 3938630
nslayoutmanager,4063750 4069470 4190750
thread-static,132830
wpfgrid,3693820
rackspace,1753290 2214540 2303190 2876230
x86-64,187620 323140 1057270 1481520 1516530 1853320 2070840 2595550 2698830 3075670 3366660 3470310 3497380 3962950 4182210 4200970 4265970
retaincount,3089660 3588090 3951130 4010770
microsoft-runtime-library,3677300
qt-mfc-migration,1482010 2926810
unrealscript,2579170 2994010
quantmod,4414580
titleview,3697260 3941100
framework-design,1788110
count,36760 126100 272190 395810 458060 581440 601600 793060 796620 797120 890820 915260 933040 1043600 1079480 1099040 1155580 1214760 1291310 1299720 1313670 1321670 1366260 1382750 1427730 1431240 1437080 1438280 1438930 1499020 1502910 1507470 1556700 1583600 1590650 1631070 1647910 1765040 1799020 1813550 1831570 1896120 1899480 1977400 2059680 2070000 2148480 2189800 2192330 2252250 2300020 2317430 2326740 2364510 2378860 2389190 2440610 2509420 2529490 2565080 2593580 2596670 2601640 2663690 2692340 2833800 2957410 3047520 3062720 3091570 3116890 3137070 3151410 3167580 3169390 3174740 3220140 3225320 3256820 3293790 3310420 3342540 3387980 3414080 3419810 3604780 3644430 3761240 3796080 3818560 4007690 4166280 4189820 4295860 4409250 4439760 4456700 4503030 4583810 4612450 4655560
golfscript,3916020
qtscript,2652390 3181910 3609940
mongoose-web-server,514180
windows-xp-sp2,1689200 3889700
togaf,755540
allegro,2710130
date,5260 11200 18250 42950 66750 74620 76650 104330 165140 165170 166600 172110 192260 204010 224040 226910 261780 262940 277660 282660 299770 308390 314540 315760 327630 337760 358410 358630 369180 380100 411530 411740 431230 441270 441880 494180 497020 527160 539900 541650 543430 589870 617220 687510 694500 790130 791500 818520 829510 847520 882420 883060 904690 907170 967780 975860 1038570 1060840 1087830 1119710 1122510 1132820 1152870 1160180 1174300 1193620 1207110 1270850 1274450 1295400 1308720 1313280 1325850 1372550 1390160 1393450 1404210 1409900 1440040 1443350 1449500 1460130 1478510 1487450 1505190 1509940 1518910 1543440 1557080 1572110 1586310 1643320 1644500 1646590 1647550 1648620 1668220 1681700 1682350 1682480 1684100 1688000 1701850 1705050 1706480 1764710 1800290 1805950 1808190 1836000 1871780 1879030 1908820 1913990 1916190 1920820 2021340 2092340 2095020 2113940 2130600 2149680 2151480 2153500 2155110 2169130 2177100 2208480 2216250 2217750 2231950 2241480 2244530 2250420 2261480 2269490 2272290 2281680 2301730 2306460 2326740 2332740 2337770 2339920 2351500 2387190 2395430 2396290 2397170 2409970 2414010 2431660 2437110 2444820 2449380 2452010 2466070 2485140 2485380 2493190 2494420 2504290 2512520 2533890 2543510 2555730 2559110 2627650 2636720 2684520 2694060 2713770 2725940 2745480 2782800 2795720 2814040 2815120 2818600 2822670 2861770 2891980 2899110 2919720 2926070 2927290 2934060 2955830 2972990 2996370 3006150 3007770 3009810 3026130 3028430 3032820 3037720 3049980 3050900 3076830 3127850 3178690 3205790 3232850 3246670 3266530 3276180 3301520 3339140 3341720 3346410 3349820 3380990 3419930 3437150 3447400 3453590 3464660 3467860 3482080 3506920 3516180 3529470 3553170 3560960 3566690 3570740 3641290 3709870 3742820 3742880 3747490 3752200 3753700 3780400 3812270 3814290 3817750 3834470 3836930 3838830 3862200 3875350 3878790 3904710 3913110 3915920 3921800 3945250 3959320 3974570 3977540 3992800 4017910 4018320 4026360 4044850 4052660 4076280 4134710 4145560 4183180 4204420 4239640 4240210 4243760 4272910 4277110 4282650 4284280 4295200 4321270 4336680 4348170 4348680 4361970 4367050 4382920 4392380 4428380 4443070 4451140 4464440 4465470 4475110 4482050 4525850 4529640 4536230 4536360 4538670 4542980 4552380 4553970 4562580 4587060 4607250 4615250 4636800 4674830 4680910 4681960 4691620 4694600
qtkit,452530 1189010 1968030 2937720 4038390 4102470
twain,3465910
maven-site-plugin,1718100
visual-assist,88190 1192960 3740010 3764850
findstr,2635740 3062100
rdfs,2420430 3003700
checkout,192810 516040 804970 933390 1637540 1824280 2474990 2964070 3057530 3872980 3929440 4355150 4385060 4507380 4593880
radius,3912740
jde,906290 1377370 2650930 2715180
geohashing,3032650
onload,559150 978740 1302640 1383870 1675740 1833980 2445240 2565830 3102480 3258930 3303290 3318020 3674830 3805130 4077890 4395780
yarv,1114850 3652170
opengl-to-opengles,4616890
social-graph,2218530
throttling,457590 480020 570160 2090910 3240140 3369970
contour,888490 2658390
optimistic-concurrency,3598550 4455570
ltk,277480
serialscroll,1837220 3690800
storage,10600 17020 268920 485340 564460 714420 1039870 1130830 1276700 1310290 1437800 1668880 1688690 1692160 1701210 1832780 2002100 2388030 2609350 2615830 2681470 2774710 2986930 3199910 3221090 3256670 3284260 3426240 3459950 3490050 3578430 3738940 3780030 3866100 4316120 4387490 4568890 4618880
asp.net-cache,4602450
dataflex,810410
uifont,1380490 4245960 4700280
sitecollection,3488150
xcode-organizer,4703290
jfreechart,419770 421020 1088370 1666180 2025590 2433980 3081860 3231840 3336010 3470160 3963420 4049300 4294300 4378900
aix,610060 1545430 1615660 1686730 1749410 1795370 1829200 2091460 3722700 3881680 3998080 4247220 4554820
strict,3024880 4323510
mdm,4678360
session-timeout,1197530 1270910 1544500 1573550 1740230 1838760 1985250 3064340 3307820 3344670 3466150 3770150 3778200 3910440 3915810
distributed-computing,926010 957310 1403560 1616130 1755180 1824190 2355910 2986010 3450050 3540600 3653330 4056800 4160790 4226670 4265920
trust,3833090
dynamic-linking,956310 1993390 2124870 2248500 2553530 2606450 2883290 3088940 3789950 3845820 4029940 4178530 4180810 4226400 4240130 4486900
2d,30080 61680 67000 145800 169810 188030 360890 397500 537950 543130 903760 934290 990050 1005200 1079350 1431500 1723230 2092350 2136850 2153740 2350110 2532810 2659520 2663570 2748660 2821340 2824640 2878940 3153390 3173500 3180000 3371090 3400780 3597250 3672260 3675300 3938450 4138010 4181210 4229040 4286880 4435450 4524710 4539660
compiled-language,717490 3899480
ihtmldocument2,3685510
zend-server,1483890 4050860
chmod,817060 1288570 2539710 2758090 2900690 3787680 4539470 4539970
iphone-sdk-3.2,2279590 2612160 2618300 2900210 3042920 3146860 3482580 3598630 3612460 4151400 4504860
boolean,177960 266870 314800 554230 587280 647370 795760 799280 835590 1295170 1338270 1387010 1731950 1745320 1748630 1759250 1768020 1857550 1934580 1947030 2017230 2064550 2124410 2256760 2263660 2456330 2467590 2566380 2572540 2661110 2769420 2780570 2828120 2862080 2872710 2935710 3113020 3147990 3191500 3368550 3450420 3500530 3558520 3593050 3793650 3836490 3966670 3977830 4088080 4139750 4175480 4218840 4368640 4441280 4554340 4565200 4630750
indirection,358220 1371710 3338160 4616020
nsrunloop,4049200
livecycle-designer,2556320
feedparser,2174970 2614910 2857450 3623460 4646560
sequence-diagram,125930 526410 570740 1312650 2602230 2946650 3759790 4649130
joomla,379920 427200 472410 495100 531860 559150 579610 743600 938400 1049320 1061670 1097480 1142390 1218020 1261330 1280900 1320300 1345690 1432980 1478220 1541760 1573670 1593410 1602110 1609160 1621750 1635730 1662980 1713920 1795800 1797770 1805220 1834820 1855310 1963120 2116010 2141930 2145670 2170840 2278040 2280510 2301720 2348590 2369590 2389830 2390420 2457680 2469080 2526970 2590620 2644990 2666950 2786080 2802930 2842860 2871460 2928090 2998080 3013750 3054860 3080210 3086540 3113100 3116850 3174800 3238790 3265040 3298530 3390440 3415580 3426680 3470830 3553810 3573020 3575180 3664760 3718080 3768130 3779130 3785390 3785980 3871800 3933090 3971050 4018870 4019510 4049480 4064490 4067370 4145470 4149020 4181100 4206520 4212330 4220820 4242840 4243820 4279000 4287570 4310750 4340130 4451830 4508000 4508250 4516000 4612390 4634310 4640160 4645630 4646180
xml-parsing,1022080 1194470 1630260 1684470 1972790 2427470 2467830 2520950 2672730 2947760 3027700 3050250 3083480 3313640 3634420 3869770 3903190 3922670 4026390 4165440 4243070 4251750 4278990 4292270 4312940 4313310 4322320 4406730 4574710 4603900 4661680 4676530
inline-editing,613670 993870 1887830 2504610
imaging,1263290 3150770 3908930 4286540
gmail-imap,2658690 3819670 4369860 4379990
silverlight,20910 35120 60620 94610 102070 104270 105480 114010 119980 156800 188160 198360 217740 226760 232100 233640 244130 247270 248640 257740 292800 297390 329870 361490 373570 377030 380850 383560 396500 400340 427080 440450 465460 474300 491280 493510 504730 510010 514120 515860 543100 545400 546200 554570 566290 580740 581900 581930 598910 600230 604680 606360 615070 615530 636180 651460 654440 655330 664270 668090 670140 684360 686810 689150 693960 699130 705200 705510 711500 714640 715260 716590 720830 722290 722530 729080 729110 742310 744430 746190 748050 749760 758120 758780 759360 786050 787510 788060 792160 805310 816620 822680 842470 844550 854490 862480 863650 865090 867530 886940 888800 890310 916710 932510 932740 951160 952040 963750 964790 969360 970810 971810 980560 980590 984670 989340 1008440 1008560 1020370 1022770 1027350 1030510 1032040 1044340 1050900 1052430 1053220 1066090 1069160 1069770 1084280 1084510 1088000 1089380 1089650 1097180 1105590 1119910 1123210 1126490 1130600 1133960 1134350 1135230 1136010 1139200 1144180 1159800 1160770 1169460 1169720 1170480 1170720 1176390 1183340 1186990 1187190 1189420 1193910 1206510 1210510 1247440 1250460 1258750 1260990 1278320 1280190 1281490 1298010 1302560 1306600 1324890 1325980 1328220 1329860 1340120 1340580 1357570 1374750 1385260 1407140 1425790 1435540 1440790 1446500 1450670 1453090 1465200 1466820 1468100 1471590 1486750 1487510 1492290 1492300 1492640 1502440 1506810 1508400 1510940 1522060 1529130 1530040 1539880 1545760 1559750 1559810 1569040 1575860 1579260 1579880 1588280 1588310 1589260 1611930 1619340 1626270 1633330 1637720 1642640 1645030 1648410 1648750 1655590 1658200 1669530 1677160 1681020 1681130 1689880 1695280 1701820 1703330 1724100 1726680 1736530 1744870 1747680 1751860 1758070 1765500 1773330 1791640 1792790 1793550 1795850 1800490 1801390 1804250 1824210 1827210 1828600 1834040 1834090 1850380 1852140 1862640 1863640 1875040 1879180 1882380 1884150 1889110 1891310 1895180 1897770 1903330 1904190 1908150 1909270 1909930 1912020 1919380 1920890 1921220 1923140 1927200 1928860 1929160 1929600 1930960 1935860 1952250 1956440 1958470 1962700 1965700 1966030 1970070 1973180 1978780 1985130 1988510 1990700 1996410 2007550 2010660 2012550 2014680 2015400 2016900 2017200 2017280 2017940 2020230 2029300 2029590 2030360 2031560 2035140 2049040 2051920 2053550 2060540 2061620 2062720 2065580 2067070 2068080 2069570 2072480 2073960 2078720 2085490 2086540 2088230 2092210 2093160 2094200 2098790 2113540 2120840 2123320 2129300 2129360 2131960 2132290 2134470 2141650 2142010 2143200 2149420 2157430 2176330 2178550 2180860 2182160 2184420 2188510 2190700 2191440 2192400 2194960 2197560 2199170 2201860 2206920 2210770 2211130 2262050 2262450 2265170 2271710 2280330 2286460 2289610 2291310 2295540 2295720 2302250 2306500 2309480 2310410 2310470 2314150 2314210 2324360 2328070 2330040 2335580 2336340 2354660 2364210 2370880 2372300 2373600 2380050 2383160 2386570 2390940 2393510 2394370 2395770 2408700 2409930 2419890 2421810 2426400 2429420 2430610 2435100 2435880 2438080 2439000 2444780 2445650 2445970 2447690 2453390 2458670 2461310 2467490 2473630 2475140 2481790 2488160 2489890 2500300 2500560 2504380 2505600 2507080 2511080 2516220 2521210 2523240 2524080 2525770 2527490 2538480 2538510 2540600 2550780 2551740 2552250 2556290 2566770 2569080 2573290 2574160 2585070 2594990 2598130 2599470 2601230 2602210 2602700 2605760 2609930 2616040 2617460 2621540 2627410 2636120 2638610 2640830 2645500 2658900 2668230 2678050 2683310 2713020 2713200 2714360 2716660 2724230 2724590 2725050 2725160 2729660 2739260 2743280 2743790 2753010 2763500 2766860 2771600 2774740 2776870 2778580 2780440 2787480 2796600 2799940 2800740 2801130 2803360 2809400 2811170 2811480 2814250 2819860 2826290 2829060 2830270 2838160 2838690 2842170 2847690 2850340 2850500 2851330 2851500 2855040 2860550 2866500 2872050 2872330 2876660 2878480 2878750 2883930 2893920 2894380 2909040 2910590 2919200 2920020 2923240 2928390 2929880 2930160 2935970 2939460 2943570 2943960 2946380 2948770 2950680 2952060 2956500 2960140 2960780 2962780 2968470 2969270 2975810 2976560 2986170 2987820 2997870 2999290 3006790 3006990 3007400 3008580 3009230 3009490 3011300 3014480 3016600 3023950 3026140 3032340 3034550 3035190 3035290 3036890 3039770 3040100 3044160 3047140 3059450 3064430 3065360 3067340 3071340 3075750 3084400 3088530 3089060 3089330 3103540 3117630 3120890 3132600 3134130 3151820 3152540 3154680 3157780 3158450 3159610 3161440 3162220 3164360 3169700 3170840 3171660 3178100 3185930 3191270 3194660 3196890 3199420 3199900 3203070 3204940 3205330 3213540 3213880 3215020 3215970 3217740 3232120 3232860 3234650 3235830 3238590 3239100 3241840 3244830 3250300 3254780 3265270 3267640 3270070 3273530 3275800 3282000 3289480 3293010 3296470 3300270 3309100 3310520 3312650 3322180 3323020 3325020 3330010 3333370 3334160 3342260 3343480 3349030 3349660 3353950 3355070 3355830 3363840 3369280 3369850 3370460 3373980 3377120 3379230 3395210 3395970 3396110 3399880 3400150 3401130 3402610 3405810 3418230 3433200 3433960 3446030 3450240 3451020 3454780 3468030 3474390 3477240 3477410 3479650 3483360 3491510 3494470 3505440 3517530 3519440 3520280 3524030 3524440 3524900 3525790 3537100 3541660 3541990 3543140 3553210 3564290 3567560 3572120 3572240 3582600 3583540 3595640 3599800 3603070 3603920 3608800 3610400 3616270 3619680 3624830 3625580 3625880 3630440 3633760 3634560 3637180 3655210 3657300 3658520 3660560 3667450 3675340 3677520 3678240 3683310 3696640 3700960 3709110 3715260 3717240 3718170 3718740 3719750 3724380 3727250 3729770 3733360 3733990 3735090 3735690 3752210 3755000 3757300 3759560 3760690 3761600 3762150 3762440 3763580 3765880 3767410 3772960 3775830 3777010 3786400 3788610 3788950 3792960 3796460 3800310 3804260 3808080 3817350 3818000 3821370 3822980 3825600 3831270 3833000 3842350 3843200 3848740 3850250 3850700 3850850 3850920 3856540 3856780 3857320 3859600 3864110 3872450 3873420 3890520 3891370 3891570 3892140 3896200 3907880 3907900 3915630 3917910 3922060 3933600 3937520 3947310 3950750 3951250 3957770 3959690 3961430 3978910 3988170 3989080 3990520 3995200 3996910 3998060 3998500 3998860 3999880 4000400 4004270 4005070 4009510 4015100 4025220 4025940 4026520 4027770 4028180 4031810 4032020 4032060 4033140 4033600 4034770 4034980 4036740 4037150 4040320 4045050 4058660 4059450 4061300 4062330 4069660 4072270 4074790 4079870 4081950 4086550 4087070 4091070 4099960 4107460 4109810 4110800 4117340 4122490 4143140 4143880 4147250 4151600 4159330 4166060 4166300 4167650 4175470 4182270 4186630 4189670 4203590 4206370 4206800 4208010 4211060 4212190 4213470 4214420 4214930 4215850 4217010 4218830 4219990 4223250 4224860 4229020 4232370 4235380 4252480 4254810 4257840 4263630 4264660 4272470 4274930 4286020 4286590 4286810 4316840 4316990 4319690 4319960 4323170 4328080 4329000 4329450 4333800 4336140 4336840 4339850 4343010 4349040 4351240 4353240 4356840 4361650 4365390 4368400 4368470 4368670 4372360 4379430 4385520 4388460 4392880 4393460 4396850 4400490 4400630 4405130 4411220 4418610 4427720 4428130 4434720 4441040 4450340 4450920 4452220 4462550 4465660 4472760 4478450 4481420 4487800 4492470 4501170 4503150 4505590 4515590 4518310 4530680 4539430 4541020 4557110 4566860 4569520 4574100 4575390 4578970 4581380 4585520 4590360 4599030 4599460 4615700 4616340 4634880 4636210 4638650 4640370 4652350 4652600 4652910 4656870 4656880 4668810 4669080 4674230 4678340 4680500 4691570 4693390 4694460 4698450 4710530 4711590
enumerate,4385510
sslstream,2322560
virtualbox,565680 1344930 1688690 1807580 2180040 2313010 3051690 3267850 3610790 4159860 4267860
smooth-scrolling,1609780 3625970
helios,3496480 3604620 3680250 3747070 4630030
filereferencelist,3609490
onpreinit,582250
email-attachments,2477770 3451260 3970470
clause,245180 2178270
fujitsu,3329570
monthcalendar,535360 1142640 1863230
loadlibrary,1053180 2206270 2319030 2730990 3102590
